Nivel_Ingresos,Estado_Siniestro,Cliente_ID,Antigüedad_Maxima,Saldo_Pendiente,Saldo_Pendiente_Seg,Puntaje_Morosidad1,Puntaje_Morosidad2,Puntaje_Morosidad3,Puntaje_Morosidad4,Puntaje_Morosidad5,Puntaje_Morosidad6,Morosidad_total,Siniestros1,Siniestros2,Siniestros3,Siniestros4,Siniestros5,Siniestros6,Siniestros_total
Medio_bajo,No_siniestro,94130,42,0,0,0,1,0,0,0,0,1,9,9,9,9,9,9,54
Medio_bajo,No_siniestro,17565,15,5485.37,0,1,2,1,0,0,2,6,69,68,65,47,33,15,297
Bajo,No_siniestro,624525,13,2274.38,0,2,1,0,2,3,3,11,42,40,43,42,41,33,241
Medio_bajo,No_siniestro,136621,33,482.14,0,0,0,0,0,0,0,0,40,40,40,40,40,40,240
Medio_bajo,Si_siniestro,512599,29,8.31,0,0,7,7,7,7,7,35,39,39,39,40,39,39,235
Bajo,Si_siniestro,640392,24,2722.24,0,3,3,2,1,0,3,12,42,40,39,37,36,40,234
Medio_bajo,No_siniestro,274290,42,8.94,0,0,0,0,0,0,0,0,37,38,38,39,38,38,228
Medio_bajo,No_siniestro,284947,2,1000,0,3,7,0,0,0,0,10,42,38,38,34,29,25,206
Medio_bajo,No_siniestro,36135,39,0.01,0,0,7,6,5,4,3,25,33,33,33,34,33,31,197
Bajo,No_siniestro,38993,23,155.44,0,4,3,4,2,2,2,17,36,35,34,32,30,28,195
Medio_bajo,No_siniestro,332609,140,287.06,0,0,0,0,1,1,2,4,30,30,31,31,33,33,188
Medio_bajo,No_siniestro,305257,3,400,0,4,7,7,0,0,0,18,34,33,33,31,29,27,187
Bajo,No_siniestro,731743,197,2688.5,0,0,0,0,0,0,0,0,29,29,29,29,29,29,174
Medio_bajo,No_siniestro,305902,55,0,0,0,0,0,0,0,0,0,41,37,30,23,22,15,168
Bajo,No_siniestro,346772,61,77.54,0,0,0,0,0,0,0,0,26,25,28,28,27,26,160
Medio_bajo,Si_siniestro,327535,23,1150.95,0,1,7,7,6,5,4,30,39,33,29,24,17,15,157
Medio_bajo,No_siniestro,229621,26,2881.96,0,4,7,7,7,7,6,38,32,29,26,25,23,19,154
Medio_bajo,No_siniestro,516703,83,1087.14,0,0,0,0,0,0,0,0,26,26,25,25,24,25,151
Bajo,Si_siniestro,53613,29,543.24,0,3,2,1,1,2,2,11,30,27,24,24,20,16,141
Bajo,No_siniestro,326062,53,435,0,1,1,1,0,0,0,3,25,24,23,22,23,23,140
Medio_bajo,No_siniestro,75312,12,3288.42,0,0,0,0,1,0,0,1,23,23,23,23,23,23,138
Medio_bajo,No_siniestro,240523,20,504.97,0,0,7,7,7,7,7,35,24,24,24,23,22,21,138
Medio_bajo,Si_siniestro,286707,24,12.81,0,0,7,7,7,7,7,35,23,23,23,23,23,23,138
Moderado,No_siniestro,535493,104,11578.18,218543.81,0,7,7,6,5,4,29,9,9,9,37,33,31,128
Medio_bajo,No_siniestro,449528,5,1805.79,0,6,7,7,6,5,0,31,20,20,25,23,21,18,127
Medio_bajo,Si_siniestro,694920,43,889.78,0,1,7,6,5,4,3,26,22,22,22,22,17,19,124
Bajo,No_siniestro,64155,87,1800.86,0,0,0,0,0,0,0,0,20,20,21,21,21,21,124
Bajo,No_siniestro,302801,55,419.85,0,0,0,0,0,0,0,0,23,23,21,20,19,17,123
Medio_bajo,Si_siniestro,596874,87,2267.56,0,3,3,5,4,1,2,18,27,23,19,17,18,14,118
